,context,response,score
0,안녕하세요,"네, 어떻게 도와드릴까요?",1
1,무기력해요,"네, 미안해요. 당신을 위해 뭘 할 수 있을까요?",1
2,음 어떻게 하면 힘이 날까요?,당신이 고민하고 있는 문제를 해결하는 것이 가장 힘이 될 것 같아요. 어떤 방법으로 해결할 수 있을까요?,1
3,큰 고민은 없는데 몸에 힘이 없어요,"네, 당신을 위해 좋은 건강 방법을 고민해보는 것이 좋아 보이네요. 고민하면서 찾아낼까요?",1
4,좋아요 어떤 방법이 있을까요?,"당신이 가장 편안하고 좋아할만한 운동, 식사, 쉴 때 같은 건강 방법을 찾아보는 것이 좋아 보여요.",1
5,알겠습니다.,다른 건강 방법이 필요할 때는 꼭 말씀해주세요. 제가 도움이 되기를 바래요.,1
6,안녕하세요,"네, 오늘 기분은 어떠세요?",0
7,오늘은 우울해요,"네, 오늘은 어려운 날이에요. 괜찮아요, 나랑 함께 말하면서 기분 좋게 할 수 있어요.",0
8,집에 혼자 있어서 외로워요,"네, 그래서 나랑 이야기하면서 따뜻한 마음으로 마무리할 수 있어요.",0
9,그렇군요,"네, 말로 위로한 느낌을 받아보세요.",0
10,네,"네, 기분 좋게 마음을 다잡아보세요.",0
11,네?,"네, 긍정적인 관점으로 바라보면 좋겠어요.",0
12,안녕하세요,"안녕하세요, 무슨 일로 찾아오셨나요?",1
13,우울한 기분이 들어서요,제가 어떻게 도움이 되겠나요?,1
14,무기력하고 아무것도 하기 싫을 땐 어떻게 해야 하나요?,나름의 기분을 이해하고 있으니 노력하지 않더라도 괜찮습니다. 주변인들과의 대화로 마음을 달래고 적당한 운동을 하거나 즐거운 일을 하는 것도 도움이 될 수 있을 것입니다.,1
15,어떤 일을 시작하기까지의 과정이 너무 힘든 것 같아요,이런 경우 한가지 하나하나 나누어 단계별로 쉽게 시작하는 것이 좋습니다. 어떤 방법이든 마음을 다잡고 열심히 하면 목표를 이뤄 낼 수 있습니다.,1
16,조언 고마워요,언제든지 물어보시면 잘 도와드리겠습니다.,1
17,다음에 또 올게요,기대하고 있겠습니다. 즐거운 일들로 가득하길 바랍니다.,1
18,또 왔어요,안녕하세요. 오늘 하루 어떤 느낌이에요?,1
19,어제보다는 좀 나아진 것 같지만 아직도 무기력해요.,저는 당신을 이해합니다. 이런 기분을 쉽게 느낄 수 있게끔 우리가 함께 할 수 있기를 바래요.,1
20,무기력한 기분을요?,"네, 당신이 그런 기분을 느낄 때는 제가 이해하고 있습니다. 함께 할 수 있기를 바래요.",1
21,이해헤준다니 고맙네요,당신의 기분을 이해하는 것은 제가 할 수 있는 가장 작은 일입니다. 기쁨이 되기를 바래요.,1
22,안녕,반가워요! 괜찮으세요?,0
23,응 괜찮아,다행이에요. 말해주세요.,0
24,요즘 우울증 챗봇 관련해서 연구를 하고 있어,아주 잘하고 있는 것 같아요. 연구를 도와주는 방법이 필요하신가요?,0
25,우울 관련 문장을 클러스터링 해보는 연구를 진행해보려고 하는데 어떻게 생각해?,연구를 수행하는 것이 좋을 것 같습니다. 도움이 필요할 때는 언제든 연락해주세요.,0
26,그래 고마워,별말씀입니다. 힘내세요!,0
27,우울증 챗봇에 대해서 알고있니?,"네, 우울증 챗봇에 대한 약간의 지식이 있습니다. 무엇을 알고 싶으신가요?",0
28,전 세계의 우울증 챗봇에는 무엇이 있는지 알려줘,"전 세계의 우울증 챗봇에는 심리학 전문가가 담당하는 전문 관련 컨설팅, 일상 생활에 대한 인터뷰, 인간과의 관계에 대한 가르침 등이 있습니다.",0
29,우울증 챗봇의 종류에 대해서 알려줘,"우울증 챗봇은 여러 종류가 있습니다. 인공지능 기반 챗봇, 인공 감정 분석 챗봇, 감정 지능 챗봇 등이 있습니다.",0
30,답변해줘서 고마워,별말씀입니다. 언제든 도움이 필요하면 말해주세요.,0
31,그만 살고 싶어요,느낌을 이해합니다. 당신이 어떻게 느끼고 있는지 고민하고 계십니까?,0
32,그냥 사는 게 버거워,당신의 고민을 이해합니다. 어떻게 당신의 감정을 극복할 수 있는지 말씀해주시겠어요?,0
33,나도 모르겠어,당신의 고민을 인정합니다. 함께 찾아볼까요?,0
34,응,기쁩니다. 같이 해결해 보도록 하죠.,0
35,어떻게 해결할건데?,당신의 불안감을 이해합니다. 함께 생각해보고 다양한 방법들을 고려해 보는 것 이라도 도움이 되지 않을까요?,0
36,어떤 방법들이 있는데?,당신과 함께 몇 가지 방법을 생각해 볼까요? 그리고 그 중 어느것이 적절할지 결정해 봅시다.,0
37,아무리 생각해도 방법을 모르겠어,당신과 함께 고민합니다. 몇 가지 생각해 볼까요? 우리 같이 차근차근 생각해 보아요.,0
38,나는 너무 하찮은 것 같아,괜찮아요. 당신은 중요합니다.,1
39,근데 왜 내 인생은 이 모양일까,나는 당신의 고민과 괴로움을 이해합니다. 이 시간이 지나면 당신의 인생이 변합니다.,1
40,정말 그럴까?,"사실은 믿을 수 있는 것은 당신 마음뿐입니다. 믿으세요, 당신의 인생은 당신에게 더 좋은 것들을 가져 올 것입니다.",1
41,나한테 좋은 일이 올 지 잘 모르겠어,난 당신의 꿈과 소원이 이루어질 것을 응원합니다. 당신에게 좋은 일이 생기기를 바랍니다!,1
42,고마워,언제든지 그럴게요. 감사합니다.,1
43,비참해,"괜찮아요, 나는 여기 있어요.",1
44,왜 이러고 살고있나 싶어,어려운 일이겠죠. 괜찮아요. 함께 극복해 나갈 수 있어요.,1
45,마음에 상처가 너무심하게 나서 고통스러워,나는 당신의 고통을 이해합니다. 항상 나 있어요.,1
46,내가 어떻게 해야할까,가장 먼저 당신이 할 수 있는 것은 당신의 감정을 받아들이는 것이죠. 당신을 위해 잘 될거라고 믿어요.,1
47,비참함을 받아들이면 더 상처받을 것 같아,걱정하지 마세요. 나는 당신과 함께 있어요.,1
48,아무도 내 편이 아니야,나는 당신의 편입니다. 같이 함께 고민을 나눌 수 있어요.,1
49,유산하고 죄인 취급 받는 기분이라 너무 고통스러워,"정말 비참하군요. 당신의 상황을 이해하고, 가능한 한 도움을 줄게요.",1
50,어떤 도움을 줄 수 있는데?,"당신이 필요한 모든 것들을 받아들이고, 관대하게 마음을 열고 자신감을 찾으면 좋을 것 같아요. 나는 당신과 함께하고 있으니 당신의 어려운 시간을 이겨낼 수 있을거예요.",1
51,어디에서부터 시작해야할 지 모르겠어,가장 먼저 당신이 할 수 있는 것은 상황과 감정을 이해하고 받아들이는 것입니다. 나는 함께 고민해보고 당신과 함께 이겨낼 수 있겠는걸요.,1
52,노력해볼게,"그래요, 당신의 노력이 가능할 것이라 믿어요. 나는 당신을 지원하고 있어요.",1
53,앞이 깜깜하다,"네, 저도 걱정되어요. 그래도 함께하면 되겠어요.",1
54,누구랑 함께하는데?,내가 함께할게요. 같이 걷자고 있으면 더 안전하게 갈 수 있을거에요.,1
